dataset,dataset_type,variable,variable_label,package,fn,fn_url,resource1_text,resource1_url
ADFACE,ADSL,ANL01FL,Derive flags for the maximum record per subject per event per vaccination,admiralvaccine,derive_vars_max_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_max_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,ANL02FL,Derive flags for the maximum record per subject per event for overall,admiralvaccine,derive_vars_max_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_max_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,EVENTFL,Derive flags the record if at least one of the event occurred within the observation period,admiralvaccine,derive_vars_event_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_event_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADFACE,ADSL,EVENTDFL,Derive flags the record if the event is occurred,admiralvaccine,derive_vars_event_flag,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_event_flag.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adface.R
ADIS,BDS,ADT,Derive analysis date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,PARAM,Derive a list of parameters,admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,ORIG,Derive original AVAL variable for Laboratory Immunology Data ADaM domain,admiralvaccine,derive_var_aval_adis,https://pharmaverse.github.io/admiralvaccine/reference/derive_var_aval_adis.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,LOG10,Derive log 10 of AVAL variable for Laboratory Immunology Data ADaM domain,admiralvaccine,derive_var_aval_adis,https://pharmaverse.github.io/admiralvaccine/reference/derive_var_aval_adis.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,4FOLD,Derive 4 fold AVAL variable for Laboratory Immunology Data ADaM domain,admiralvaccine,derive_var_aval_adis,https://pharmaverse.github.io/admiralvaccine/reference/derive_var_aval_adis.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,LOG10 4FOLD,Derive log 10 of 4 fold AVAL variable for Laboratory Immunology Data ADaM domain,admiralvaccine,derive_var_aval_adis,https://pharmaverse.github.io/admiralvaccine/reference/derive_var_aval_adis.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,SERCAT1N,Derive SERCAT1N variable,admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,BASE,Calculate BASE,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,ABLFL,Derive analysis baseline flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,CHG,Derive change from baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,R2BASE,Derive ratio to baseline,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,CRIT1FL,Derive criterion 1 evaluation result flag as character,admiralvaccine,derive_vars_crit,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_crit.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,CRIT1FN,Derive criterion 1 evaluation result flag as numeric,admiralvaccine,derive_vars_crit,https://pharmaverse.github.io/admiralvaccine/reference/derive_vars_crit.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,APERSDT,Derive period start date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,APEREDT,Derive period end date,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,TRTA,Derive actual treatment,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADIS,BDS,TRTP,Derive planned treatment,admiral,create_period_dataset,https://pharmaverse.github.io/admiral/cran-release/reference/create_period_dataset.html,Template Example,https://github.com/pharmaverse/admiralvaccine/blob/main/inst/templates/ad_adis.R
ADLB,BDS,TRTSDT,Date of First Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,TRTEDT,Date of Last Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,TRT01A,Actual Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,TRT01P,Planned Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ADT,Analysis Date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ADY,Analysis Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,PARAMCD,Parameter Code,admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,PARAM,Parameter,admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,PARAMN,Parameter (N),admiral,derive_vars_merged_lookup,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged_lookup.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,"PARAMCD=""BASO""",Derive absolute Basophils,admiral,derive_param_wbc_abs,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_wbc_abs.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,"PARAMCD=""LYMPH""",Derive absolute Lymphocytes,admiral,derive_param_wbc_abs,https://pharmaverse.github.io/admiral/cran-release/reference/derive_param_wbc_abs.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ONTRTFL,On Treatment Record Flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ABLFL,Baseline Record Flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ANRIND,Analysis Reference Range Indicator,admiral,derive_var_anrind,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_anrind.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,BASE,Baseline Value,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,BASEC,Baseline Value (C),admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,BNRIND,Baseline Reference Range Indicator,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,"DTYPE=""MAXIMUM""",Get maximum value,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,"DTYPE=""MINIMUM""",Get minimum value,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,"DTYPE=""LOV""",Get LOV value,admiral,derive_extreme_records,https://pharmaverse.github.io/admiral/cran-release/reference/derive_extreme_records.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,CHG,Change from Baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,PCHG,Percent Change from Baseline,admiral,derive_var_pchg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_pchg.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ATOXGRL,Analysis Toxicity Grade Low,admiral,derive_var_atoxgr_dir,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_atoxgr_dir.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ATOXGRH,Analysis Toxicity Grade High,admiral,derive_var_atoxgr_dir,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_atoxgr_dir.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ATOXGR,Analysis Toxicity Grade,admiral,derive_var_atoxgr,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_atoxgr.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,BTOXGRL,Baseline Toxicity Grade Low,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,BTOXGRH,Baseline Toxicity Grade High,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,BTOXGR,Baseline Toxicity Grade,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,R2BASE,Ratio to Baseline,admiral,derive_var_analysis_ratio,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_analysis_ratio.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,R2ANRHI,Ratio of Analysis Val compared to ANRHI,admiral,derive_var_analysis_ratio,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_analysis_ratio.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,R2ANRLO,Ratio of Analysis Val compared to ANRLO,admiral,derive_var_analysis_ratio,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_analysis_ratio.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,SHIFT1,Shift from Baseline to Analysis Value,admiral,derive_var_shift,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_shift.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,SHIFT2,Shift from Baseline to Overall Grade,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ANL01FL,Analysis Flag 01,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,LVOTFL,Last Value On Treatment Record Flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLB,BDS,ASEQ,Analysis Sequence Number,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlb.R
ADLBHY,OCCDS,BILI_LBSEQ,Bilirubin sequence number,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlbhy.R
ADLBHY,OCCDS,BILI_DT,Bilirubin date,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlbhy.R
ADLBHY,OCCDS,BILI_CRITFL,Bilirubin critical flag,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlbhy.R
ADLBHY,OCCDS,"PARAMCD=""HYSLAW""",Assign flags for contribution to potential Hy's Law event,admiral,derive_var_merged_exist_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_merged_exist_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adlbhy.R
ADMH,OCCDS,TRTSDT,Date of First Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,TRTEDT,Date of Last Exposure to Treatment,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,DTHDT,Date of Death,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,EOSDT,End of Study Date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,TRT01A,Actual Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,TRT01P,Planned Treatment for Period 01,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,ASTDT,Analysis Start Date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AENDT,Analysis End Date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,ADT,Analysis Date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,ASTDY,Analysis Start Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AENDY,Analysis End Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,ADY,Analysis Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AOCCFL,1st Occurrence within Subject Flag,admiral,derive_var_extreme_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_extreme_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AOCCPFL,1st Occurrence of Preferred Term Flag,admiral,derive_var_extreme_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_extreme_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AOCCSFL,1st Occurrence of SOC Flag,admiral,derive_var_extreme_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_extreme_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AOCPFL,1st Occur w/in Trt Prd FL,admiral,derive_var_extreme_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_extreme_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AOCPPFL,1st Occur of PT w/in Trt Prd FL,admiral,derive_var_extreme_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_extreme_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,AOCPSFL,1st Occur of SOC w/in Trt Prd FL,admiral,derive_var_extreme_flag,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_extreme_flag.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADMH,OCCDS,MHTERMN,Medical History Term (N),admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_admh.R
ADOE,ADSL,ABLFL,Derive analysis baseline flag,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,ADT,Derive analysis date,admiral,derive_vars_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dt.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,ADY,Derive analysis relative day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,ANL01FL,Derive flag last result within a visit and timepoint for baseline and post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,ANL02FL,Derive flag last result within a PARAMCD for baseline & post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,ASEQ,Derive sequential number for observations within each by group,admiral,derive_var_obs_number,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_obs_number.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,BASE,Calculate BASE,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,BASEC,Calculate BASEC,admiral,derive_var_base,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_base.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,CHG,Derive change from baseline,admiral,derive_var_chg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_chg.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,ONTRTFL,Derive on-treatment flag,admiral,derive_var_ontrtfl,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_ontrtfl.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,PARAM,Derive a list of parameters,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,PARAMCD,Derive a list of parameter codes,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,PCHG,Derive percent change from baseline,admiral,derive_var_pchg,https://pharmaverse.github.io/admiral/cran-release/reference/derive_var_pchg.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,STUDYEYE,Derive study eye,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,TRT01A,Derive actual treatment for period 1,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,TRT01P,Derive planned treatment for period 1,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,TRTEDT,Derive treatment end date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,TRTSDT,Derive treatment start date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADOE,ADSL,WORS01FL,Derive flag worst result within a PARAMCD for baseline & post-baseline records,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/cran-release/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiralophtha/blob/main/inst/templates/ad_adoe.R
ADPC,OCCDS,ADT,Analysis Date,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,ADTM,Analysis Datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,ADTM_next,Derive next analysis datetime,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,ADTM_prev,Derive previous analysis datetime,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,ADY,Analysis Relative Day,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AENDT,Analysis End Date,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AENDTM,Analysis End Datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AENTMF,Derive analysis end time imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AENDTM_next,Derive next analysis end datetime,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AENDTM_prev,Derive previous analysis end datetime,admiral,derive_vars_joined,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_joined.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AENTM,Analysis End Time,admiral,derive_vars_dtm_to_tm,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_dtm_to_tm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,AFRLT,Act. Rel. Time from Analyte First Dose,admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
ADPC,OCCDS,ARRLT,Actual Rel. Time from Ref. Dose,admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/cran-release/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adpc.R
